complaint,category
"I want to report an incident of eve teasing that happened in Dadar. When i was coming back from the market, some youths passed vulgar comments at me while I was walking. They also whistled and made inappropriate gestures towards me and my friend. When I tried to ignore them and walk away, they followed for some distance. This kind of behaviour has made me feel unsafe while commuting alone. Other women in the area have also faced similar harassment at the same spot. I request increased police patrolling in this area to prevent such incidents. I am ready to identify the individuals if a line-up or CCTV review is arranged.",Eve Teasing
"I want to report a suspicious activity noticed in Dadar. Since a few days ago, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I am filing a complaint regarding threats issued to me by an unknown person residing in Vashi. The threats began 3rd of this month after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"I want to report that I have received serious threats from an unidentified man in Wakad. Since since the last two weeks, this person has been threatening to harm me and my family. They have warned me of dire consequences if I do not comply with their demands. The threats have been made both in person and over phone calls. I am extremely worried about the safety of my family due to these threats. I have not responded to any of their demands, which has escalated their anger. I request police protection and immediate action against the person threatening me. I can provide call recordings and witness details to support this complaint.",Threat
"I want to raise a public safety concern regarding the condition of roads in Kalyan. There is an open manhole near the main road that has been uncovered since 3rd of this month. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"I am reporting an eve teasing incident that occurred near Sadar Bazar bus stop. Around midnight, a man at the bus stop started teasing me and passing lewd remarks. They also tried to click photographs of me without my permission. I confronted them, but they laughed it off and continued their behaviour. This is not the first time such incidents have happened at this location. Several other girls have complained informally about the same group. I request strict action and regular police presence to ensure women's safety. I am willing to assist with identification if the individuals are traced.",Eve Teasing
"I want to report the theft of my purse containing cash and cards that happened in Vile Parle. The incident took place while I was returning from work, near the main market area. When I realised it was missing, I immediately checked the surroundings but found nothing. I suspect it was stolen by someone who was following me for a while. The approximate value of the stolen item is around Rs. 2,50,000. I have already informed the local shopkeepers in case they noticed anything unusual. I request the police to investigate the matter and help recover my belongings. I am ready to provide any additional details or CCTV footage location if available.",Theft
"I want to report the theft of my bicycle parked outside that happened in Sadar Bazar. The incident took place early this morning, near the main market area. When I realised it was missing, I immediately checked the surroundings but found nothing. I suspect it was stolen by someone who was following me for a while. The approximate value of the stolen item is around Rs. 2,50,000. I have already informed the local shopkeepers in case they noticed anything unusual. I request the police to investigate the matter and help recover my belongings. I am ready to provide any additional details or CCTV footage location if available.",Theft
"I want to report domestic violence I am facing from my father-in-law at my residence in Pimpri. The physical and mental abuse has continued for 3rd of this month. I am often beaten and verbally abused over small household matters. They have also threatened to throw me out of the house without any support. My children have witnessed these incidents, which has affected them badly. I have tried to resolve this peacefully, but the abuse continues to escalate. I request protection and legal action against those responsible for this abuse. I am ready to provide medical records and witness statements if required.",Domestic Violence
"I am filing this complaint against my father-in-law for continuous domestic abuse at home. Since a few days ago, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I want to raise a public safety concern regarding the condition of roads in Kharadi. There is an open manhole near the main road that has been uncovered since 2nd august. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"I want to report the theft of my bicycle parked outside that happened in Dadar. The incident took place when I was coming back from the market, near the main market area. When I realised it was missing, I immediately checked the surroundings but found nothing. I suspect it was stolen by someone who was following me for a while. The approximate value of the stolen item is around Rs. 2,50,000. I have already informed the local shopkeepers in case they noticed anything unusual. I request the police to investigate the matter and help recover my belongings. I am ready to provide any additional details or CCTV footage location if available.",Theft
"I want to report domestic violence I am facing from my in-laws at my residence in Nashik Road. The physical and mental abuse has continued for since the last two weeks. I am often beaten and verbally abused over small household matters. They have also threatened to throw me out of the house without any support. My children have witnessed these incidents, which has affected them badly. I have tried to resolve this peacefully, but the abuse continues to escalate. I request protection and legal action against those responsible for this abuse. I am ready to provide medical records and witness statements if required.",Domestic Violence
"I am being blackmailed by my landlord who is threatening to expose personal information about me. The blackmail attempts started 22nd june through messages on Snapchat. They are asking for Rs. 8,000 failing which they threaten to defame me publicly. I have not given in to any of their demands so far. The mental pressure from these continuous threats is becoming unbearable. I have kept records of all the messages and calls related to this matter. I request immediate action to stop this blackmail and protect my privacy. Please advise on the legal steps I can take against this person.",Blackmail
"I want to report a suspicious activity noticed in Nashik Road. Since 15th july, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I want to report a broken streetlight and damaged footpath in Shivaji Nagar causing safety issues. This problem has persisted for a few days ago without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"I want to report that I am being harassed online through Instagram. An unknown user has been sending me abusive and threatening messages since 2nd august. They have also created a fake profile using my photos without my consent. This person is messaging my friends and relatives with objectionable content about me. I have tried blocking the account, but new fake accounts keep appearing. This online harassment is causing me a lot of stress and embarrassment. I request cyber crime cell to trace the account and take strict action. I can share screenshots and chat history as proof of the harassment.",Cyber Harassment
